ticker,name,industry,market_cap,market_cap_num,symbol_url
CTLP,"Cantaloupe, Inc.",Software - Infrastructure,778.18M,778180000,/stocks/ctlp/
CTM,"Castellum, Inc.",Information Technology Services,110.55M,110550000,/stocks/ctm/
CTMX,"CytomX Therapeutics, Inc.",Biotechnology,588.74M,588740000,/stocks/ctmx/
CTNM,"Contineum Therapeutics, Inc.",Biotechnology,308.74M,308740000,/stocks/ctnm/
CTNT,Cheetah Net Supply Chain Service Inc.,Integrated Freight & Logistics,5.02M,5020000,/stocks/ctnt/
CTO,"CTO Realty Growth, Inc.",REIT - Diversified,539.97M,539970000,/stocks/cto/
CTOR,"Citius Oncology, Inc.",Drug Manufacturers - Specialty & Generic,146.15M,146150000,/stocks/ctor/
CTOS,"Custom Truck One Source, Inc.",Rental & Leasing Services,1.33B,1330000000,/stocks/ctos/
CTRA,Coterra Energy Inc.,Oil & Gas Exploration & Production,18.06B,18060000000,/stocks/ctra/
CTRE,"CareTrust REIT, Inc.",REIT - Healthcare Facilities,7.74B,7740000000,/stocks/ctre/
CTRI,"Centuri Holdings, Inc.",Utilities - Regulated Gas,1.79B,1790000000,/stocks/ctri/
CTRM,Castor Maritime Inc.,Marine Shipping,19.37M,19370000,/stocks/ctrm/
CTRN,"Citi Trends, Inc.",Apparel Retail,285.55M,285550000,/stocks/ctrn/
CTS,CTS Corporation,Electronic Components,1.21B,1210000000,/stocks/cts/
CTSH,Cognizant Technology Solutions Corporation,Information Technology Services,35.18B,35180000000,/stocks/ctsh/
CTSO,Cytosorbents Corporation,Medical Devices,49.90M,49900000,/stocks/ctso/
CTVA,"Corteva, Inc.",Agricultural Inputs,41.72B,41720000000,/stocks/ctva/
CTW,CTW Cayman,Electronic Gaming & Multimedia,131.04M,131039999,/stocks/ctw/
CTXR,"Citius Pharmaceuticals, Inc.",Biotechnology,29.19M,29190000,/stocks/ctxr/
CUB,Lionheart Holdings,Shell Companies,325.68M,325680000,/stocks/cub/
CUBE,CubeSmart,REIT - Industrial,8.63B,8630000000,/stocks/cube/
CUBI,"Customers Bancorp, Inc.",Banks - Regional,2.29B,2290000000,/stocks/cubi/
CUE,"Cue Biopharma, Inc.",Biotechnology,58.99M,58990000,/stocks/cue/
CUK,Carnival Corporation & plc,Travel Services,37.45B,37450000000,/stocks/cuk/
CULP,"Culp, Inc.",Textile Manufacturing,50.67M,50670000,/stocks/culp/
CUPR,Cuprina Holdings (Cayman) Limited,Biotechnology,20.98M,20980000,/stocks/cupr/
CURB,Curbline Properties Corp.,REIT - Retail,2.43B,2430000000,/stocks/curb/
CURI,CuriosityStream Inc.,Broadcasting,251.42M,251420000,/stocks/curi/
CURR,CURRENC Group Inc.,Financial - Credit Services,287.60M,287600000,/stocks/curr/
